Copa SLI, Borussia Dortmund vs. Real Madrid (Tue Aug 18)


                    Borussia Dortmund  |  Real Madrid
                            4-2-2-2 E  |  4-2-1-3 A
                                       |
                                       |
                           G_Kobel GK  |  GK T_Courtois
                           W_Anton DF  |  DF D_Huijsen
                            N_Sule DF  |  DF R_Asencio
                      R_Bensebaini DF  |  DF E_Militao
                   N_Schlotterbeck DF  |  MF D_Ceballos
                           P_Gross MF  |  MF E_Camavinga
                          J_Brandt AM  |  DF D_Carvajal
                   Jobe_Bellingham MF  |  AM A_Guler
                           G_Reyna AM  |  FW Rodrygo
                         K_Adeyemi FW  |  FW K_Mbappe
                        S_Guirassy FW  |  FW V_Junior
                                       |
                           A_Meyer SUB |  SUB A_Lunin
Min. 16 :(rma) R_Asencio avanza 
          ...  Cambia el ritmo ante Jobe_Bellingham. Wow eso me recordó a Cruyff 
          ...  Lo deja atrás 
          ...  Mete el pase hacia V_Junior 
          ...  V_Junior mira fijamente al portero 
          ...  Dispara entre las piernas de su marcador 
          ...  G_Kobel hace una gran parada 
          ...  Y se las arregla para controlar el balón 
Min. 17 :(rma) D_Ceballos ve perfectamente el desmarque de D_Carvajal 
          ...  D_Carvajal busca una de las dos escuadras 
          ...  G_Kobel no va a llegar 
          ...  OH Sale rozando el larguero 
          ...  G_Kobel sonríe 
          ...  El que ríe último... 
Min. 19 :(rma) A_Guler con un pase largo V_Junior 
          ...  V_Junior no va a llegar. Sí, mete el pie... 
          ...  Rebota en el palo 
          ...  El rebote le cae en los pies 
          ...  Trata de regatear al portero 
          ...  Se ha enredado con el balón Vaya fallo Su entrenador está dando puñetazos al banquillo 
Min. 21 :(rma) V_Junior se abre a la banda y cambie el juego hacia Rodrygo 
          ...  P_Gross se interpone entre el delantero y el balón 
Min. 21 :(bor) W_Anton hace la croqueta ante E_Militao 
          ...  El defensa mete la pierna, pero el rebote va a parar al delantero 
          ...  K_Mbappe con una entrada durísima 
          ...  "FUERA, FUERA, FUERA" ruge el estadio 
          ...  (AMARILLA) 
          ...  Se irá a la caseta si repite algo así 
Min. 22 :(rma) A_Guler dispara en carrera 
          ...  El defensa mete la pierna 
          ...  sale rebotada hacia E_Camavinga 
          ...  E_Camavinga busca la vaselina... desde MEDIO CAMPO 
          ...  G_Kobel alcanza el cuero. Buena parada 
Min. 22 :(bor) J_Brandt supera a D_Carvajal 
          ...  Este defensa es un tronco No tiene cintura 
          ...  R_Asencio realiza una entrada terrible 
Min. 28 :(rma) E_Camavinga tira la pared con su delantero 
          ...  V_Junior se la queda 
          ...  Encara a puerta 
          ...  G_Reyna placa a su oponente 
          ...  Eso es tarjeta aquí, en Argentina y en la China 
Min. 30 :(bor) W_Anton hace una bicicleta y descoloca a D_Carvajal 
          ...  V_Junior empuja a ru rival 
          ...  Qué animal 
          ...  El colegiado le muestra la cartulina (AMARILLA) 
          ...  Chico, frena que te vas a la calle 
Min. 31 :(bor) K_Adeyemi se va en un palmo de terreno 
          ...  K_Adeyemi resuelve la jugada con un taconazo 
          ...  T_Courtois no va a llegar 
          ...  OH Se marcha desviado 
          ...  T_Courtois sonríe 
          ...  ¿Habría llegado al balón? 
Min. 36 :(rma) K_Mbappe controla un balón que bajaba con nieve 
          ...  Arranca en un suspiro y se planta en el área 
          ...  Gran entrada a ras de suelo de W_Anton 
          ...  Se pierde por la línea de fondo 
          ...  CÓRNER 
          ...  El lanzamiento va a cargo de A_Guler 
          ...  N_Sule controla el balón 
          ...  Y lo manda al centro del campo No se ha complicado 
Min. 38 :(bor) Jobe_Bellingham golpea el balón hacia K_Adeyemi 
          ...  K_Adeyemi con una preciosa vaselina 
          ...  T_Courtois tapa perfectamente el ángulo largo 
          ...  Y detiene el balón con sobriedad 
Min. 39 :(bor) G_Reyna sale lanzado por el carril 
          ...  E_Militao intenta cortar su avance con una entrada a ras de suelo 
          ...  El delantero salta por encima ¡Qué reflejos! 
          ...  G_Reyna regatea a su marcador y busca el gol 
          ...  T_Courtois no va a llegar 
          ...  OH Se pierde por encima del larguero 
          ...  T_Courtois sonríe 
          ...  ¿Sabía que iba fuera? No se, no se... 
Min. 40 :(rma) D_Huijsen con el saque de banda 
          ...  Ve a un compañero solo 
          ...  El balón vuela hacia Rodrygo 
          ...  Rodrygo trata de sorprender a G_Kobel desde fuera del área 
          ...  Al lateral de la red 
          ...  Parte del estadio cantó gol 
Min. 42 :(rma) K_Mbappe encara al defensa 
          ...  Oh Vaya momento más inoportuno para resbalar 
          ...  K_Mbappe con un disparo a ras de suelo 
          ...  G_Kobel bloquea el disparo con las piernas 
          ...  La pelota sale rebotada hacia el centro del campo 
Min. 43 :(REF) Aparece el cartel indicando que van a haber 2 minutos de tiempo añadido
Min. 45 :(bor) R_Bensebaini supera a D_Huijsen 
          ...  El defensa está viviendo una pesadilla 
          ...  R_Bensebaini cabecea con claridad 
          ...  T_Courtois mete la pierna 
          ...  Hay que blocar el balón jefe 
Min. 46 :(bor) R_Bensebaini avanza 
          ...  Cambia el ritmo ante K_Mbappe. Wow eso me recordó a Cruyff 
          ...  Lo deja atrás 
          ...  Mete el pase hacia S_Guirassy 
          ...  S_Guirassy le da mucho efecto a su disparo 
          ...  T_Courtois se queda quieto Parece que va fuera 
          ...  No Ha medido mal 
          ...  T_Courtois reacciona Mete la mano y envía el balón a córner 
          ...  CÓRNER 
          ...  P_Gross acaricia el cuero 
          ...  R_Asencio mira atentamente el centro... y lo despeja 

*************  MEDIA PARTE  ****************
Resultado al descanso: Borussia Dortmund 1-0 Real Madrid

Min. 46 :(rma) E_Camavinga para V_Junior 
          ...  Pero W_Anton se hace con el balón 
          ...  Gran anticipación 
Min. 47 :(bor) K_Adeyemi encara al defensa 
          ...  Se va de D_Huijsen en velocidad 
          ...  Menudo cambio de ritmo 
          ...  K_Adeyemi empalma el balón a la perfección 
          ...  T_Courtois detiene el balón con una mano 
          ...  El rebote cae al centro, limpio para el delantero 
          ...  Remata 
          ...  FUERA Qué fallo Está desesperado 
Min. 50 :(bor) K_Adeyemi busca algún apoyo 
          ...  Ojo Casi pierde el balón en una zona peligrosa 
          ...  Pero consigue meter el pase para G_Reyna 
          ...  G_Reyna chuta 
          ...  T_Courtois no va a llegar 
          ...  OH Se pierde por encima del larguero 
          ...  T_Courtois sonríe 
          ...  ¿Sabía que iba fuera? No se, no se... 
Min. 51 :(bor) K_Adeyemi con el regate 
          ...  Se cuela en el área 
          ...  K_Adeyemi empalma con la zurda. Colocó mal el cuerpo 
          ...  Pero se las arregla para fallar 
          ...  Los aficionados del Real Madrid se ríen de él 
Min. 55 :(bor) G_Reyna controla un balón aéreo 
          ...  De primeras hacia K_Adeyemi 
          ...  K_Adeyemi remata forzado... con la rodilla 
          ...  Al lateral de la red 
          ...  Ha tirado a la basura una ocasión de oro 
Min. 58 :(bor) K_Adeyemi se abre a la banda. Recibe el balón 
          ...  Levanta la cabeza, no hay salida 
          ...  Pero encuentra a S_Guirassy. ¡Qué visión de juego! 
          ...  S_Guirassy busca la escuadra 
          ...  T_Courtois lo atrapa fácilmente 
Min. 60 :(bor) J_Brandt ve perfectamente el desmarque de R_Bensebaini 
          ...  R_Bensebaini acomoda el balón 
          ...  Y le pega 
          ...  T_Courtois tapa perfectamente el ángulo largo 
          ...  Y detiene el balón con sobriedad 
Min. 62 :(rma) K_Mbappe se aprovecha de un error de N_Schlotterbeck 
          ...  Ha tenido suerte 
          ...  S_Guirassy envía a su oponente al césped 
          ...  Menudo trompazo 
Min. 62 :(rma) D_Carvajal con el saque de banda 
          ...  Ve a un compañero solo 
          ...  El balón vuela hacia V_Junior 
          ...  V_Junior mira fijamente al marco 
          ...  ¡Dispara! 
          ...  Pero se las arregla para fallar 
          ...  Los aficionados del Borussia Dortmund se ríen de él 
Min. 63 :(rma) K_Mbappe encara al defensa 
          ...  P_Gross mete la pierna, pero el rebote favorece al atacante 
          ...  Fue un golpe de suerte, pero continúa hacia adelante 
          ...  K_Mbappe suelta un chut con un efecto endiablado 
          ...  La manda fuera del estadio 
Min. 64 :(rma) E_Camavinga aguanta el balón 
          ...  Cambia súbitamente hacia K_Mbappe 
          ...  K_Mbappe salta por encima de la defensa rival y mete la cabeza 
          ...  G_Kobel está batido 
          ...  Cruje el larguero 
          ...  Y a la grada 
Min. 65 :(rma) R_Asencio cruza para Rodrygo 
          ...  Rodrygo toca el balón con mucha sutileza 
          ...  GOOOOOL 
          ...  Gran final 
          ...  Se levanta la camiseta 
          ...  En la de debajo pone: 10 goles este año y subiendo 
          ...  Empate Menudo final de partido nos espera 
          ...  Borussia Dortmund 1-1 Real Madrid ...
Min. 66 :(rma) V_Junior aprovecha un fallo defensivo 
          ...  El entrenador está abroncando a su defensa 
          ...  Gran volea de V_Junior 
          ...  A las nubes 
          ...  Dejó el cuerpo atrás y no controló bien el disparo 
Min. 69 :(bor) Jobe_Bellingham recupera el balón y pasa largo hacia R_Bensebaini. Ha pillado a la defensa desolocada 
          ...  E_Camavinga placa a su oponente 
          ...  Como si fuera un jugador de rugby 
          ...  ¡PENALTI! Tom_Henning_Ovrebo huye de los jugadores que le piden explicaciones 
          ...  S_Guirassy ya está en los 11 metros 
          ...  T_Courtois vuela 
          ...  GOOOOOL 
          ...  Poco podía hacer el portero ante un lanzamiento así 
          ...  El Borussia Dortmund golpea. Ahora manda en el marcador 
          ...  Borussia Dortmund 2-1 Real Madrid...
Min. 73 :(bor) J_Brandt se aprovecha de un error de E_Militao 
          ...  Corre hacia el marco 
          ...  J_Brandt empalma el balon con una rabona ¡Qué frivolidad! 
          ...  Dispara precipitadamente 
          ...  Fuera No puedo precisar el remate 
Min. 75 :(bor) G_Reyna avanza pegado a la línea de banda 
          ...  Mete el balón al área N_Sule 
          ...  Pierde el control del balón 
          ...  R_Asencio mete el pie y lo envía a la grada 
Min. 77 :(rma) V_Junior con un peligroso pase hacia K_Mbappe 
          ...  K_Mbappe coloca un preciso disparo 
          ...  Dispara ancho 
Min. 79 :(bor) Jobe_Bellingham regatea a su marcador 
          ...  D_Carvajal se lanza al corte 
          ...  Despeja el cuero 
          ...  Trata de evitar el córner 
          ...  Ha salido 
          ...  CÓRNER 
          ...  P_Gross le de mucho efecto a su lanzamiento 
          ...  R_Bensebaini entra desde atrás 
          ...  T_Courtois hace una parada sencillita 
          ...  El disparo no llevaba mucho peligro 
Min. 85 :(rma) Rodrygo en una posición inmejorable 
          ...  Rodrygo se va de su defensor, mete el pie 
          ...  El disparo se le escurre a G_Kobel de las manos 
          ...  rueda lentamente hacia el marco 
          ...  Pero sale a centímetros del palo 
Min. 87 :(rma) E_Camavinga pasa hacia K_Mbappe 
          ...  N_Sule arriesgo con una entrada a ras de suelo Ay Le ha dado 
          ...  El árbitro no lo ha visto así 
Min. 88 :(REF) El cuarto árbitro indica que se va a añadir 1 minuto al tiempo reglamentario
Min. 88 :(bor) Jobe_Bellingham inicia el ataque 
          ...  Pase picado por G_Reyna 
          ...  D_Huijsen lee la jugada antes de que se produzca y corta el balón 
Min. 89 :(bor) N_Sule mete el pase 
          ...  D_Carvajal resbala 
          ...  G_Reyna se apodera del balón 
          ...  R_Asencio se anticipa a la jugada 
Min. 89 :(rma) K_Mbappe controla de espaldas a la portería 
          ...  Pisa el balón y se gira. Peligro 
          ...  Hace un mal control 
          ...  G_Reyna está muy encima en su marcaje y le arrebata el cuero 

*************  PRÓRROGA  ****************

Min. 91 :(bor) P_Gross en el centro del campo 
          ...  Cruza hacia J_Brandt 
          ...  J_Brandt mete el interior del pie con mucha intención 
          ...  Su disparo es rechazado por el portero 
          ...  Se hace con el rebote 
          ...  Y dispara fuera 
          ...  Se precipitó 
Min. 91 :(rma) E_Camavinga encara a su marcador 
          ...  Lo sienta con una croqueta 
          ...  Eso lo hacía Michael Laudrup 
          ...  Y ahora suelta un pase impresionante hacia V_Junior 
          ...  V_Junior no va a llegar. Sí, mete el pie... 
          ...  Pero el balón se pierde inofensivamente por encima del larguero 
Min. 92 :(bor) G_Reyna pisa el balón ante R_Asencio 
          ...  Se lo enseña, se lo esconde, otra vez... lo va a marear 
          ...  G_Reyna tiene tiempo y espacio 
          ...  ¡Dispara por bajo! 
          ...  Los aficionados se levantan de sus asientos 
          ...  Pero el balón se va por encima del larguero 
Min. 95 :(bor) N_Sule impacta a D_Ceballos con un tremendo codazo 
          ...  (ROJA) 
          ...  Se ha pasado dos pueblos 
Min. 96 :(rma) A_Guler avanza 
          ...  Cambia el ritmo ante J_Brandt. Wow eso me recordó a Cruyff 
          ...  Lo deja atrás 
          ...  Mete el pase hacia V_Junior 
          ...  V_Junior tiene una oportunidad de oro 
          ...  G_Kobel lo atrapa cómodamente 
Min. 97 :(rma) V_Junior se va de N_Schlotterbeck 
          ...  Lo ha dejado sentado 
          ...  V_Junior busca la escuadra 
          ...  G_Kobel despeja el balón... con el pecho Vaya manera de vacilar al contrario 
Min. 99 :(bor) N_Schlotterbeck con un preciso pase hacia K_Adeyemi 
          ...  K_Adeyemi rompe el intento de fuera de juego rival 
          ...  Creo que estaba más adelante que el último defensa 
          ...  T_Courtois sale a la desesperada 
          ...  Sienta a T_Courtois con un regate seco 
          ...  Dispara de primeras 
          ...  ¡Al palo! 
Min. 100:(bor) P_Gross envía largo para K_Adeyemi 
          ...  K_Adeyemi busca desequilibrar el partido 
          ...  Dispara excesivamente alto 
          ...  Está horrorizado por lo que falló 
          ...  ¿Su entrenador está hablando solo? Ui no, creo que era un insulto 
Min. 101:(rma) V_Junior se aprovecha de un error de N_Schlotterbeck 
          ...  Corre hacia el marco 
          ...  V_Junior solo tiene una cosa en la cabeza: el GOL 
          ...  ¡Suelta un potente latigazo! 
          ...  G_Kobel está batido 
          ...  Golpea en el larguero 
          ...  GOOOOOL 
          ...  El portero solo ha podido mirárselo 
          ...  Real Madrid lo ha logrado 
          ...  Creo que se va a llevar un punto 
          ...  Borussia Dortmund 2-2 Real Madrid ...
Min. 102:(bor) J_Brandt hace una bicicleta y cambia el juego hacia K_Adeyemi 
          ...  K_Adeyemi prueba suerte 
          ...  Dispara excesivamente alto 
          ...  Está horrorizado por lo que falló 
          ...  ¿Su entrenador está hablando solo? Ui no, creo que era un insulto 
Min. 103:(REF) El cuarto árbitro indica que se va a añadir 1 minuto al tiempo reglamentario
Min. 104:(rma) V_Junior con el globo 
          ...  Rodrygo la baja con la cabeza 
          ...  Rodrygo se abre un hueco entre la defensa rival y dispara 
          ...  El disparo agarra un efecto endiablado 
          ...  G_Kobel reacciona con velocidad 
          ...  No va a llegar 
          ...  Se cuela 
          ...  Pero un defensa se lanza en plancha y mete el cuerpo 
          ...  CÓRNER 
          ...  K_Mbappe centra con fuerza al área pequeña 
          ...  G_Kobel mete los puños con fuerza y aleja el peligro 

*************  DESCANSO  ****************

Min. 110:(bor) R_Bensebaini ve especio entre el central y el lateral. Pone un peligroso pase diagonal para J_Brandt 
          ...  J_Brandt regatea a uno, dos y chuta 
          ...  T_Courtois bloquea el disparo con las piernas 
          ...  La pelota sale rebotada hacia el centro del campo 
Min. 111:(bor) J_Brandt se va de su marcador 
          ...  Lo lleva por el camino de la amargura 
          ...  Corte finísimo y preciso de D_Huijsen 
          ...  Ha medido muy bien 
Min. 115:(rma) D_Ceballos hace la diagonal 
          ...  Ve un desmarque por el rabillo del ojo 
          ...  Se la pasa a E_Camavinga 
          ...  E_Camavinga trata de ajustar el cuero al palo 
          ...  Chuta con el exterior 
          ...  ¡Uhhhhh! Ha salido a metros del marco 
Min. 116:(rma) Rodrygo recoge el balón muerto y arranca hacia la portería 
          ...  Falla en el control 
          ...  y N_Schlotterbeck no desaprovecha el regalo 
Min. 117:(rma) E_Camavinga ve a V_Junior completamente solo 
          ...  R_Bensebaini se interpone entre el delantero y el balón. Ha ganado la posición 
Min. 118:(REF) El cuarto árbitro indica que se van a añadir 2 minutos al tiempo reglamentario
Min. 118:(rma) D_Ceballos se cuela por la banda 
          ...  Quiebra a W_Anton en velocidad 
          ...  Mete un pase raso hacia V_Junior 
          ...  V_Junior rompe el intento de fuera de juego rival 
          ...  Se va solo 
          ...  G_Kobel sale desesperadamente 
          ...  Sienta a G_Kobel con una bicicleta 
          ...  ¡Oh! ¡Qué hace! La defensa se le ha echado encima 
          ...  Busca el disparo 
          ...  Imposible Impacta en su marcador 
Min. 121:(bor) Jobe_Bellingham volea el cuero. Va directo hacia P_Gross 
          ...  Corte finísimo de E_Militao 
          ...  Y evita el córner Está en un momento dulce 
Min. 121:(rma) D_Ceballos se cuela hasta la línea de fondo 
          ...  Amaga el centro 
          ...  Pasa raso atrás hacia K_Mbappe 
          ...  K_Mbappe impacta el balón con una volea defectuosa 
          ...  Al palo y fuera 
          ...  Bueno, a veces entra, a veces no... 

*************  FINAL DEL PARTIDO  ***************





(DDP)
-------------------------------------------------------------------------------------------
Borussia Dortmund  - Información del partido
-------------------------------------------------------------------------------------------
Mejor jugador        : S_Guirassy
Goleadores           : N_Schlotterbeck (16), S_Guirassy (69 pen)
Expulsados           : N_Sule (95)
Amonestados          : K_Adeyemi (10)
Lesionados           : N/A
-------------------------------------------------------------------------------------------
Real Madrid  - Información del partido
-------------------------------------------------------------------------------------------
Mejor jugador        : V_Junior (Jugador del partido)
Goleadores           : Rodrygo (65), V_Junior (101)
Expulsados           : N/A
Amonestados          : E_Camavinga (4), K_Mbappe (21), V_Junior (30)
Lesionados           : N/A
-------------------------------------------------------------------------------------------

Estadísticas del partido
-------------------------------------------------------------------------------------------
                       Borussia Dortmund  |    Real Madrid
Ocasiones de gol     :          26        |       27
Disparos desviados   :          14        |       16
Tiros a puerta       :          12        |       11
Posesión             :          50        |       50
Córners              :           3        |       4
Tarjetas rojas       :           1        |       0
Tarjetas amarillas   :           1        |       3
Sustituciones        :           0        |       0
Faltas               :           8        |       10
Entradas             :           8        |       8
Pases clave          :          20        |       24
-------------------------------------------------------------------------------------------
Resultado final      : Borussia Dortmund 2 - 2 Real Madrid
-------------------------------------------------------------------------------------------


Player Statistics - Borussia Dortmund
Name          Pos  St  Tk  Ps  Sh  Ag | Min Sav Ktk Kps Ass Sht Gls Yel Red KAb TAb PAb SAb
-------------------------------------------------------------------------------------------
G_Kobel        GK  42   3   2   2  22 | 125  11   0   0   0   0   0   0   0 216   0   0   0
W_Anton        DF   2  38  15   7  22 | 125   0   2   1   0   0   0   0   0   0  52  20   0
N_Sule         DF   2  38  15   4  22 |  98   0   2   1   0   0   0   0   1   0  42  10 -10
R_Bensebaini   DF   2  36  28  12  22 | 125   0   1   2   0   4   0   0   0   0  26  40  16
N_Schlotterbeck  DF   2  40  17   7  23 | 125   0   2   1   0   1   1   0   0   0  52  20  40
P_Gross        MF   2  21  40  19  22 | 125   0   1   3   0   0   0   0   0   0  26  60   0
J_Brandt       AM   2  19  43  26  24 | 125   0   0   3   0   3   0   0   0   0   0  60   7
Jobe_Bellingham  MF   2  24  33  16  22 | 125   0   0   4   0   1   0   0   0   0   0  80   5
G_Reyna        AM   2  19  38  24  23 | 125   0   1   2   0   3   0   0   0   0  26  40   3
K_Adeyemi      FW   2  16  28  40  26 | 125   0   0   3   0   9   0   1   0   0  -3  57  14
S_Guirassy     FW   2  14  25  43  24 | 125   0   0   0   0   4   1   0   0   0   0   0  56
A_Meyer        GK  27   2   2   2  18 |   0   0   0   0   0   0   0   0   0   0   0   0   0
Y_Couto        DF   2  36  31  14  24 |   0   0   0   0   0   0   0   0   0   0   0   0   0
F_Nmecha       MF   2  26  36  16  22 |   0   0   0   0   0   0   0   0   0   0   0   0   0
M_Sabitzer     AM   2  24  38  21  23 |   0   0   0   0   0   0   0   0   0   0   0   0   0
J_Duranville   FW   2  16  28  33  24 |   0   0   0   0   0   0   0   0   0   0   0   0   0

Player Statistics - Real Madrid
Name          Pos  St  Tk  Ps  Sh  Ag | Min Sav Ktk Kps Ass Sht Gls Yel Red KAb TAb PAb SAb
-------------------------------------------------------------------------------------------
T_Courtois     GK  45   2   2   2  24 | 125  10   0   0   0   0   0   0   0 194   0   0   0
D_Huijsen      DF   2  38  12   4  25 | 125   0   3   1   0   0   0   0   0   0  78  20   0
R_Asencio      DF   2  32  14   4  24 | 125   0   3   2   1   0   0   0   0   0  78  69   0
E_Militao      DF   2  40  12   4  26 | 125   0   1   0   0   0   0   0   0   0  26   0   0
D_Ceballos     MF   2  16  37  12  25 | 125   0   0   6   0   0   0   0   0   0   0 120   0
E_Camavinga    MF   2  21  38  14  26 | 125   0   0   6   0   3   0   1   0   0  -3 117   4
D_Carvajal     DF   2  40  19   7  26 | 125   0   3   1   0   1   0   0   0   0  78  20   1
A_Guler        AM   2  14  37  19  25 | 125   0   0   5   0   0   0   0   0   0   0 100   0
Rodrygo        FW   2   9  19  40  28 | 125   0   0   0   0   7   1   0   0   0   0   0  54
K_Mbappe       FW   2  12  24  49  30 | 125   0   0   0   0   5   0   1   0   0  -3  -3   6
V_Junior       FW   2  12  23  45  30 | 125   0   0   3   0  11   1   1   0   0  -3  57  67
A_Lunin        GK  37   2   2   2  22 |   0   0   0   0   0   0   0   0   0   0   0   0   0
J_Carreras     DF   2  37  16   7  25 |   0   0   0   0   0   0   0   0   0   0   0   0   0
Mastantuono    MF   2   9  19  34  24 |   0   0   0   0   0   0   0   0   0   0   0   0   0
Endrick        MF   2   9  16  37  26 |   0   0   0   0   0   0   0   0   0   0   0   0   0
G_Garcia       FW   2   7  14  32  24 |   0   0   0   0   0   0   0   0   0   0   0   0   0
1787080726 Produced from ESMS+ V3.35
