Copa Federacion, Tottenham vs. Napoles (Tue Jun 09)


                            Tottenham  |  Napoles
                              3-4-3 E  |  4-1-2-3 A
                                       |
                                       |
                         G_Vicario GK  |  GK A_Meret
                           P_Porro DF  |  DF A_Buongiorno
                        R_Dragusin DF  |  DF M_Gutierrez
                           K_Danso DF  |  DF M_Oliveira
                        J_Maddison MF  |  DF L_Spinazzola
                       R_Bentancur MF  |  DM F_Anguissa
                      D_Kulusevski MF  |  MF S_Lobotka
                            A_Gray MF  |  MF L_Goretzka
                         B_Johnson FW  |  FW K_Kvaratskhelia
                       Richarlison FW  |  FW S_Gnabry
                         D_Solanke FW  |  FW R_Lukaku
                                       |
                          A_Kinsky SUB |  SUB V_Milinkovic
Min. 65 :(nap) S_Gnabry salta sobre la tremenda entrada de R_Dragusin 
          ...  S_Gnabry empalma con la derecha 
          ...  G_Vicario rechaza el cuero con los puños 
          ...  El colegiado pita saque de puerta 
          ...  Creo que el árbitro ha sido el único que no ha visto que G_Vicario tocó el balón 
Min. 69 :(tot) J_Maddison acelera por la banda derecha 
          ...  Hace la pared con el delantero 
          ...  Quiebra al lateral 
          ...  B_Johnson se la pide dentro del área 
          ...  Le pone el balón en el pie ¡Qué pase! 
          ...  K_Kvaratskhelia placa a su oponente 
          ...  Este tío tiene futuro... en la NFL 
Min. 70 :(nap) Los aficionados rugen cuando M_Kim substituye a S_Gnabry para jugar de DF 
Min. 70 :(nap) Napoles decide cambiar su formación a D 
Min. 73 :(tot) D_Solanke se aprovecha de un error de M_Kim 
          ...  L_Goretzka con la falta 
Min. 74 :(nap) K_Kvaratskhelia combina con F_Anguissa con espacio por delante 
          ...  F_Anguissa se precipita en su remate 
          ...  Chuta con el exterior 
          ...  ¡Uhhhhh! Ha salido a metros del marco 
Min. 77 :(nap) S_Lobotka cuelga arriba sobre L_Goretzka 
          ...  L_Goretzka resuelve la jugada con un taconazo 
          ...  Pero G_Vicario alcanza el cuero con el puño 
          ...  Ha demostrado mucha valentía en esa acción 
Min. 80 :(nap) S_Lobotka ve especio entre el central y el lateral 
          ...  Qué pase en diagonal 
          ...  F_Anguissa pisa área. Peligro 
          ...  Espectacular remate de F_Anguissa 
          ...  G_Vicario está tapado. No ve venir el balón 
          ...  Reacciona rápidamente Y desvía el cuero 
Min. 88 :(REF) El cuarto árbitro indica que se va a añadir 1 minuto al tiempo reglamentario
Min. 90 :(nap) L_Spinazzola volea el cuero. Va directo hacia K_Kvaratskhelia 
          ...  Pero pisa un charco y cae al suelo 
          ...  R_Dragusin recoge el balón. Menudo marcaje le está haciendo 

*************  FINAL  ****************





(DDP)
-------------------------------------------------------------------------------------------
Tottenham  - Información del partido
-------------------------------------------------------------------------------------------
Mejor jugador        : Richarlison
Goleadores           : Richarlison (21)
Expulsados           : N/A
Amonestados          : D_Kulusevski (9), D_Udogie (47)
Lesionados           : N/A
-------------------------------------------------------------------------------------------
Napoles  - Información del partido
-------------------------------------------------------------------------------------------
Mejor jugador        : R_Lukaku (Jugador del partido)
Goleadores           : K_Kvaratskhelia (36), R_Lukaku (42)
Expulsados           : N/A
Amonestados          : S_Lobotka (59)
Lesionados           : N/A
-------------------------------------------------------------------------------------------

Estadísticas del partido
-------------------------------------------------------------------------------------------
                               Tottenham  |    Napoles
Ocasiones de gol     :          12        |       23
Disparos desviados   :           6        |       10
Tiros a puerta       :           6        |       13
Posesión             :          39        |       61
Córners              :           2        |       5
Tarjetas rojas       :           0        |       0
Tarjetas amarillas   :           2        |       1
Sustituciones        :           2        |       1
Faltas               :          11        |       8
Entradas             :           6        |       3
Pases clave          :           9        |       22
-------------------------------------------------------------------------------------------
Marcador             : Tottenham 1 - 2 Napoles
-------------------------------------------------------------------------------------------


Player Statistics - Tottenham
Name          Pos  St  Tk  Ps  Sh  Ag | Min Sav Ktk Kps Ass Sht Gls Yel Red KAb TAb PAb SAb
-------------------------------------------------------------------------------------------
G_Vicario      GK  42   3   2   2  22 |  94  12   0   0   0   0   0   0   0 238   0   0   0
P_Porro        DF   2  41  28  14  23 |  94   0   2   0   0   1   0   0   0   0  52   0   1
R_Dragusin     DF   2  36  14   7  22 |  94   0   1   0   0   0   0   0   0   0  26   0   0
K_Danso        DF   2  36   5   7  21 |  45   0   1   0   0   1   0   0   0   0  26   0   5
J_Maddison     MF   2  12  41  18  23 |  94   0   1   2   0   2   0   0   0   0  26  40   6
R_Bentancur    MF   2  28  38  16  23 |  94   0   1   1   0   0   0   0   0   0  26  20   0
D_Kulusevski   MF   2  21  38  14  23 |  94   0   1   3   0   0   0   1   0   0  23  57  -3
A_Gray         MF   2   8  36  14  22 |  45   0   0   1   0   1   0   0   0   0   0  20   1
B_Johnson      FW   2  19  20  41  23 |  94   0   0   0   0   1   0   0   0   0   0   0   1
Richarlison    FW   2  14  26  40  23 |  94   0   0   1   0   5   1   0   0   0   0  20  52
D_Solanke      FW   2  14  14  36  23 |  94   0   0   0   0   1   0   0   0   0   0   0   5
A_Kinsky       GK  27   2   2   2  18 |   0   0   0   0   0   0   0   0   0   0   0   0   0
D_Udogie       DF   2  36  18  12  23 |  49   0   1   1   0   0   0   1   0   0  22  16  -4
B_Davies       DF   2  32   9   4  21 |   0   0   0   0   0   0   0   0   0   0   0   0   0
Y_Bissouma     MF   2  18  36  14  22 |  49   0   0   0   0   0   0   0   0   0  -1  -1  -1
M_Tel          FW   2  14  24  33  23 |   0   0   0   0   0   0   0   0   0   0   0   0   0

Player Statistics - Napoles
Name          Pos  St  Tk  Ps  Sh  Ag | Min Sav Ktk Kps Ass Sht Gls Yel Red KAb TAb PAb SAb
-------------------------------------------------------------------------------------------
A_Meret        GK  40   3   2   2  19 |  94   5   0   0   0   0   0   0   0  97   0   0   0
A_Buongiorno   DF   2  40  16   7  21 |  94   0   1   1   0   1   0   0   0   0  43  37  18
M_Gutierrez    DF   2  41  27   9  22 |  94   0   1   4   0   1   0   0   0   0  26  80   1
M_Oliveira     DF   2  38  28  12  20 |  94   0   0   4   2   0   0   0   0   0   0 138   0
L_Spinazzola   DF   2  39  31  14  20 |  94   0   1   2   0   0   0   0   0   0  43  57  17
F_Anguissa     DM   2  29  38  16  21 |  94   0   1   0   0   2   0   0   0   0  26   0   6
S_Lobotka      MF   2  27  41  14  21 |  94   0   0   3   0   0   0   1   0   0  -3  57  -3
L_Goretzka     MF   2  16  42  16  26 |  94   0   0   2   0   1   0   0   0   0   0  40   5
K_Kvaratskhelia  FW   2  16  31  40  26 |  94   0   0   5   0   3   1   0   0   0   0 100  46
S_Gnabry       FW   2  12  24  41  27 |  73   0   0   1   0   2   0   0   0   0   0  20   6
R_Lukaku       FW   2  16  20  41  20 |  94   0   0   0   0  13   1   0   0   0   0   0  80
V_Milinkovic   GK  30   2   2   2  18 |   0   0   0   0   0   0   0   0   0   0   0   0   0
M_Kim          DF   2  41  14   4  25 |  21   0   0   0   0   0   0   0   0   0   0   0   0
D_Neres        MF   2  14  39  22  24 |   0   0   0   0   0   0   0   0   0   0   0   0   0
B_Gilmour      MF   2  25  38  14  21 |   0   0   0   0   0   0   0   0   0   0   0   0   0
R_KoloMuani    FW   2  14  28  41  25 |   0   0   0   0   0   0   0   0   0   0   0   0   0
1781037284 Produced from ESMS+ V3.35
